active,date,enddate,day,title,detail,image
Y,4 apr,,Zat,Finale beker van Vlaanderen, Sporthal de witte molen - Sint-Niklaas,
Y,16 mei,17 mei,Zon,Jeugdtoernooi U12 & U14,Sporthal Beveren · 09u00–17u00,/activities/jeugdtoernooi 2026.png
